simulation_id,ID,averageCellCycleDuration_tumour,averageCellCycleDuration_stroma,chi_macrophageToCSF,chi_macrophageToCXCL12,chi_tumourCellToEGF,macrophagePhenotypeIncrementPerHour,distanceToBloodVessel,numberOfBloodVessels,halfMaximalExtravasationCsf1Conc,maximumProbOfExtravasationPerHour,tgfThresholdForPhenotypeSwitch,iterationNumber
AWS_ParameterSweep_24072021/49,49,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.05,8
AWS_ParameterSweep_24072021/50,50,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.05,9
AWS_ParameterSweep_24072021/51,51,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,0
AWS_ParameterSweep_24072021/52,52,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,1
AWS_ParameterSweep_24072021/53,53,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,2
AWS_ParameterSweep_24072021/54,54,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,3
AWS_ParameterSweep_24072021/55,55,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,4
AWS_ParameterSweep_24072021/56,56,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,5
AWS_ParameterSweep_24072021/57,57,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,6
AWS_ParameterSweep_24072021/58,58,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,7
AWS_ParameterSweep_24072021/59,59,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,8
AWS_ParameterSweep_24072021/60,60,24,32,0.5,3,3,0.01,17,35,0.3,0.075,0.5,9
AWS_ParameterSweep_24072021/61,61,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,0
AWS_ParameterSweep_24072021/62,62,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,1
AWS_ParameterSweep_24072021/63,63,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,2
AWS_ParameterSweep_24072021/64,64,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,3
AWS_ParameterSweep_24072021/65,65,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,4
AWS_ParameterSweep_24072021/66,66,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,5
AWS_ParameterSweep_24072021/67,67,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,6
AWS_ParameterSweep_24072021/68,68,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,7
AWS_ParameterSweep_24072021/69,69,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,8
AWS_ParameterSweep_24072021/70,70,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.05,9
AWS_ParameterSweep_24072021/71,71,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,0
AWS_ParameterSweep_24072021/72,72,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,1
AWS_ParameterSweep_24072021/73,73,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,2
AWS_ParameterSweep_24072021/74,74,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,3
AWS_ParameterSweep_24072021/75,75,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,4
AWS_ParameterSweep_24072021/76,76,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,5
AWS_ParameterSweep_24072021/77,77,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,6
AWS_ParameterSweep_24072021/78,78,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,7
AWS_ParameterSweep_24072021/79,79,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,8
AWS_ParameterSweep_24072021/80,80,24,32,0.5,3,3,0.01,17,35,0.4,0.075,0.5,9
AWS_ParameterSweep_24072021/81,81,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,0
AWS_ParameterSweep_24072021/82,82,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,1
AWS_ParameterSweep_24072021/83,83,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,2
AWS_ParameterSweep_24072021/84,84,24,32,0.5,3,3,0.01,17,35,0.5,0.075,0.05,3
